Word Number	Frequency	Arabic	English					
16240	583	حتفهم	 killed					
16241	583	ماتزال	Still 					
16242	583	لكتابة	To write 					
16243	583	نتحقق	Check 					
16244	583	البحريه	Marine 					
16245	583	ويلو	Willow 					
16246	583	خاطر	Khater 					
16247	583	المذهلة	Stunning 					
16248	583	وصلني	I received 					
16249	583	مصلحتك	Belongs 					
16250	583	سأعطيه	I'll give 					
16251	583	مرضاي	My patients 					
16252	583	tell	tell 					
16253	583	عراك	Fight 					
16254	583	القارة	 continent					
16255	583	ملء	Fill 					
16256	583	راهبة	Nun 					
16257	583	فسأكون	I'd be 					
16258	ــ583	هــل	Is 					
16259	583	استطاعت	 managed					
16260	583	بابو	Babu 					
16261	582	أتشعرين	Otcharin 					
16262	582	للأشياء	 things					
16263	582	الإحداثيات	Coordinates 					
16264	582	يأت	 come					
16265	582	تهدد	Threaten 					
16266	582	الخزينة	Treasury 					
16267	582	ابوك	Cubase 					
16268	582	لبيت	House 					
16269	582	موجه	 prompt					
16270	582	للطبيعة	Nature 					
16271	582	محله	Replaced 					
16272	582	انتشر	Spread 					
16273	582	التمييز	Discrimination 					
16274	581	أضربك	Should I strike 					
16275	581	المختار	Chosen 					
16276	581	الجامعه	University 					
16277	581	المنتجات	 Products					
16278	581	نينجا	Ninja 					
16279	581	بكسر	Breaking 					
16280	581	انخفاض	Low 					
16281	581	سنتمكن	We will be able 					
16282	581	الأبناء	 children					
16283	581	للأذى	 hurt					
16284	581	الوردية	Rose 					
16285	581	لغرض	For the purpose of 					
16286	581	باريش	Paresh 					
16287	581	العلكة	Gum 					
16288	581	ملوك	Kings 					
16289	581	سأعثر	Will I find 					
16290	581	وأربعون	Forty-					
16291	581	حبس	Imprisonment of 					
16292	580	الجرو	Puppy 					
16293	580	اعطى	Gave 					
16294	580	الإجراء	 procedure					
16295	580	الغوص	Diving 					
16296	580	ملكه	His 					
16297	580	لقاؤك	Your meeting 					
16298	580	فليتشر	Fletcher 					
16299	580	تحدثوا	 spoke					
16300	580	قبلني	 kissed me					
16301	580	نمو	 growth					
16302	580	التحري	 investigation					
16303	580	الخيري	Charity 					
16304	580	أعذار	 excuses					
16305	580	قارورة	 vials					
16306	580	نشأ	Grew 					
16307	580	توفت	Toft 					
16308	579	أختفت	 disappeared					
16309	579	بقيتنا	The rest of us 					
16310	579	نبعد	Banish 					
16311	579	ارجوكي	Ardjoki 					
16312	579	مزورة	Forged 					
16313	579	حولت	It turned 					
16314	579	نظرنا	Our 					
16315	579	كوكتيل	Cocktail 					
16316	579	يمانع	Mind 					
16317	579	الإستسلام	Surrender 					
16318	579	تركيا	Turkey 					
16319	579	سيجري	 will be					
16320	579	سيطلق	Launch 					
16321	579	كالاهان	Callahan 					
16322	579	وزوجة	And the wife of 					
16323	579	أخبرتيني	Okhbertina 					
16324	579	أدافع	I defend 					
16325	579	دونه	Below 					
16326	579	اعطاء	Giving 					
16327	579	فوقي	Wookey 					
16328	579	صفوف	Rows 					
16329	579	تقابلي	 back to back					
16330	579	اعطيتك	I gave 					
16331	579	والعودة	Back 					
16332	578	كايلب	Kilb 					
16333	578	ونخرج	And come up with 					
16334	578	التدليك	 Massage					
16335	578	تيموثي	Timothy 					
16336	578	خلوي	Cellular 					
16337	578	معطلة	Off 					
16338	578	بإنك	Bank 					
16339	578	اتصالك	 connection					
16340	578	لنضع	Let's put 					
16341	578	سيو	Seo 					
16342	578	استخدمه	Use it 					
16343	578	رآك	 saw you					
16344	578	تأثرت	 affected					
16345	578	بأسفل	Below 					
16346	578	بفريق	Team 					
16347	578	كولا	Cola 					
16348	578	سألتها	I asked her 					
16349	578	إستخدامه	Used 					
16350	578	وبطريقة	Way 					
16351	578	النعيم	Bliss 					
16352	578	حبى	My Love 					
16353	578	دقات	 beats					
16354	578	كميات	 amounts					
16355	578	سراويل	Shorts 					
16356	578	تخلت	Abandoned 					
16357	577	بالمعلومات	 information					
16358	577	تعلمان	 know not					
16359	577	خدعتني	Deceived me 					
16360	577	بمهمة	The task of 					
16361	577	لوني	Looney 					
16362	577	دلائل	 signs					
16363	577	كاين	Caen 					
16364	577	احضره	Brought him 					
16365	577	الجراح	Wounds 					
16366	577	الملاحة	Navigation 					
16367	577	أؤدي	I will perform 					
16368	577	هتاف	Cheers 					
16369	577	الخوخ	Peach 					
16370	ـ577	يـوم	Day 					
16371	577	التداخل	Interference 					
16372	577	فريمان	Freeman 					
16373	577	وشعرت	And I felt 					
16374	577	ويبر	Weber 					
16375	577	المفاجئة	Sudden 					
16376	577	لونها	Color 					
16377	577	كوكو	Coco 					
16378	577	حافل	Track 					
16379	577	التبادل	Exchange 					
16380	577	كثب	 closely					
16381	577	الطرقات	Roads 					
16382	577	غلق	Closing 					
16383	576	لادن	Laden 					
16384	576	تصيب	Injure 					
16385	576	يان	Jan 					
16386	576	بالطاقة	 powered					
16387	576	يمنعك	Prevent 					
16388	576	عمرى	Omri 					
16389	576	لفعلها	To do 					
16390	576	جنبا	 side					
16391	576	العناكب	Spiders 					
16392	576	ندرك	Realize 					
16393	576	اسلوب	Style 					
16394	576	متقدم	Advanced 					
16395	576	مسئولية	Responsibility 					
16396	576	واصلت	Continued 					
16397	576	للمتعة	For Fun 					
16398	576	زملائك	 of your colleagues					
16399	576	أساسية	Basic 					
16400	576	نملكه	We have 					
16401	576	تايسون	Tyson 					
16402	576	تهدر	 wasted					
16403	576	يبالي	Mind 					
16404	576	الساده	Gentlemen 					
16405	576	تتساءل	 wonders					
16406	576	اللجوء	Asylum 					
16407	576	تمهلوا	Tmhluwa 					
16408	576	تقويم	 calendar					
16409	576	جنة	Committee of 					
16410	576	أدعه	Let him take 					
16411	576	الخطيئة	Sin 					
16412	576	بوسط	Central 					
16413	576	اضافة	Add 					
16414	575	صياغة	The drafting of 					
16415	575	الإجتماعات	Meetings 					
16416	575	سأبذل	I will 					
16417	575	المسلحة	Armed 					
16418	575	سأتمكن	 I will be able					
16419	575	كافري	Caffrey 					
16420	575	أطالب	I call 					
16421	575	العضوية	Membership 					
16422	575	أجنبية	Foreign 					
16423	575	الدورية	Rotating 					
16424	575	أبسط	The simplest 					
16425	575	المولد	Generator 					
16426	575	كوكي	Cookie 					
16427	575	أكسب	Earn 					
16428	575	والدتى	My mother 					
16429	575	اندرسون	Anderson 					
16430	575	ستذهبون	Stzhabon 					
16431	575	المخبأ	The cache 					
16432	575	اللامع	Gloss 					
16433	575	لهجة	Tone 					
16434	575	أتذكرك	Remember you 					
16435	575	ارتكاب	The commission of 					
16436	575	بحياتنا	Our lives 					
16437	574	بسلاح	With a weapon 					
16438	574	أرجل	Legs 					
16439	574	نحمل	We carry 					
16440	574	الشمع	Wax 					
16441	574	افسدت	Messed 					
16442	574	لوقف	To stop 					
16443	574	لورل	For Worrall 					
16444	574	منهاتن	Manhattan 					
16445	574	معاناة	The suffering of 					
16446	574	الوباء	Epidemic 					
16447	574	بحفلة	 concert					
16448	574	خارجي	External 					
16449	574	الاعلام	Media 					
16450	574	الاضواء	 lights					
16451	574	ستسقط	 will fall					
16452	574	اتباع	Follow 					
16453	574	سأخبرهم	I will tell them 					
16454	574	تعجب	Exclamation 					
16455	574	انهيت	I finished 					
16456	574	وشيء	And something 					
16457	574	النكتة	Humor 					
16458	574	الكوميديا	Comedy 					
16459	574	أبوه	His father 					
16460	574	التنصت	Tapping 					
16461	574	ارجعي	 Return					
16462	574	الخرائط	Maps 					
16463	574	قواتنا	Our troops 					
16464	574	تحترم	Respects 					
16465	574	اخفاء	Hide 					
16466	574	كسول	Lazy 					
16467	574	بالهرب	 escape					
16468	574	المعاملة	 treatment					
16469	574	أمسكه	Grabbed him 					
16470	574	أعيننا	Our eyes 					
16471	574	العموم	House of Commons 					
16472	574	أطفئ	Turn off 					
16473	573	شخصيته	His personality 					
16474	573	الجدوى	Feasibility 					
16475	573	حمولة	Payload 					
16476	573	نتقدم	We extend our 					
16477	573	صممت	Designed 					
16478	573	أتصال	Call 					
16479	573	لتعيش	To live 					
16480	573	عينى	 eyes					
16481	573	الشيخ	Sheikh 					
16482	573	اجب	 duty					
16483	573	القامة	Tall 					
16484	573	الارهاب	Terrorism 					
16485	573	خطؤك	Your fault 					
16486	573	حصتي	The shares of 					
16487	573	مريضه	 patient					
16488	573	أحدكما	One of you 					
16489	573	بموضوع	Topic of 					
16490	573	الصامت	Silent 					
16491	573	انطباع	Impression 					
16492	573	الصحفيين	Journalists 					
16493	572	القرض	 loan					
16494	572	لاكي	Lucky 					
16495	572	الحرارية	Heat 					
16496	572	التكلفة	Cost 					
16497	572	أجنبي	 foreign					
16498	572	خيرية	 charity					
16499	572	ومازال	Still 					
16500	572	متقدمة	Advanced 					
16501	572	قضيته	His case 					
16502	572	لهو	Fun 					
16503	572	ورقية	Paper 					
16504	ـ572	آسفـة	Sorry 					
16505	572	الريفي	Rural 					
16506	572	المساكين	Poor 					
16507	572	تفقدوا	Lose 					
16508	572	هارديسون	Hardison 					
16509	572	اخبرينى	Tell me 					
16510	572	إيلايجا	Elijah 					
16511	572	ليب	Lip 					
16512	571	يتضح	It illustrated 					
16513	571	تقابله	Offset 					
16514	571	تسمية	Label 					
16515	571	ياللمسيح	Aallchrist 					
16516	571	أفحص	Check the 					
16517	571	المنشأة	Created 					
16518	571	حسننا	Hassanna 					
16519	571	مندهشة	Surprised 					
16520	571	لاأحد	No one 					
16521	571	المكسيكي	Mexican 					
16522	571	أطفالهم	Their children 					
16523	571	بطني	Abdominal 					
16524	571	غوين	Gwynne 					
16525	571	أبدوا	Showed 					
16526	571	الإرادة	Will 					
16527	571	نامت	She slept 					
16528	571	أيبدو	Seem 					
16529	571	بخصوصه	 is pending					
16530	571	سيفك	 Civic					
16531	571	العاديين	Ordinary 					
16532	571	حقيقتي	My truth 					
16533	571	اوضح	He said 					
16534	571	تاو	Tao 					
16535	571	محبطة	Frustrating 					
16536	570	مراحل	Stages 					
16537	570	المقدد	Cheeseburger 					
16538	570	المذبح	Altar 					
16539	570	طائلة	Chapter 					
16540	570	بشأنهم	About them 					
16541	570	تعاملني	 treated me					
16542	570	تدفعي	 pay a					
16543	570	مصحة	Clinic 					
16544	570	اندرو	Andrew 					
16545	570	التخيل	Imagine 					
16546	570	النية	Intention 					
16547	570	سأغلق	Soglq 					
16548	570	مخفوق	Whipped 					
16549	570	لبرهة	For a moment 					
16550	570	الكيك	Cake 					
16551	570	رتبة	Rank 					
16552	570	حقائبك	 bags					
16553	570	الحيل	 tricks					
16554	570	بدقيقة	Minute 					
16555	570	للمطار	Airport 					
16556	570	سانشيز	Sanchez 					
16557	570	حميم	Intimate 					
16558	570	قدمها	Submitted by 					
16559	570	رأته	I saw him 					
16560	570	لورينزو	Lorenzo 					
16561	569	يسرقون	Stealing 					
16562	569	بخط	 Line					
16563	569	نحونا	 toward us					
16564	569	تدعيه	Claims 					
16565	569	أركز	I focus 					
16566	569	احرص	Be sure 					
16567	569	اختراع	The invention of 					
16568	569	ثقافة	Culture 					
16569	569	المقاتلين	 fighters					
16570	569	اغفر	Forgive 					
16571	569	البائع	Seller 					
16572	569	العائلي	Family 					
16573	569	برهان	Proof 					
16574	569	امريكي	US 					
16575	569	الطرفين	 parties					
16576	569	الأهلية	Eligibility 					
16577	569	راجا	Raja 					
16578	569	أحرقت	Burned 					
16579	569	يرتاح	Relaxes 					
16580	569	عدى	Except 					
16581	569	شاركت	 participated					
16582	569	بحرص	Carefully 					
16583	569	حولهم	Around 					
16584	569	سنتولى	We will arrange 					
16585	569	تذكار	Commemoration of 					
16586	569	اليومين	"Two days	 "					
16587	569	جوب	 should be					
16588	569	تملكها	Owned 					
16589	568	الرحيم	Rahim 					
16590	568	صدقنى	Believe me 					
16591	568	والدتنا	The mother 					
16592	568	بودي	Body 					
16593	568	تيك	Tech 					
16594	ـ568	بمـا	Including 					
16595	568	الجسدية	Physical 					
16596	568	اهربي	An electrical 					
16597	568	يدعوك	 invites you					
16598	568	نستعمل	We use 					
16599	568	بالطوارئ	Emergency 					
16600	568	إنتقل	 Jump					
16601	568	يعالج	Handling 					
16602	568	هوفر	Hoover 					
16603	568	اوقات	 times					
16604	568	أوتيس	OTIS 					
16605	568	كعائلة	As a family 					
16606	568	الهوائي	Antenna 					
16607	568	لأطلب	To ask for 					
16608	568	سأنتظرك	Sontzerk 					
16609	568	تعقد	Hold 					
16610	568	فريقه	His team 					
16611	568	أسمائهم	 names					
16612	568	إسحب	DRAW 					
16613	568	اراكم	See you 					
16614	567	وتعود	The back 					
16615	567	الدبابات	Tanks 					
16616	567	خلقت	Created 					
16617	567	ماين	Maine 					
16618	567	تقرأين	You read 					
16619	567	الادلة	Evidence 					
16620	567	المكاتب	 offices					
16621	567	الفقر	 Poverty					
16622	567	صخور	Rocks 					
16623	567	القريبة	 nearby					
16624	567	نرحب	Welcome to 					
16625	567	اردتي	Ordti 					
16626	567	كود	Code 					
16627	567	محبي	 fans					
16628	567	نستحق	We deserve 					
16629	567	مزاد	Auction 					
16630	567	ايطاليا	Italy 					
16631	567	الدوري	League 					
16632	567	مضادة	Counter 					
16633	567	فيرن	Vern 					
16634	567	لحياتي	For my life 					
16635	567	عريف	Corporal 					
16636	567	المناخ	Climate 					
16637	567	السكاكين	Knives 					
16638	567	رؤوسكم	Your heads 					
16639	567	little	little 					
16640	567	الطابور	Line 					
16641	567	بورت	Port 					
16642	567	اختفوا	Disappeared 					
16643	567	كيونغ	Kyung-					
16644	566	لتوها	Just 					
16645	566	محاط	Surrounded by 					
16646	566	السبعينات	Seventies 					
16647	566	وينتر	Winter 					
16648	566	جمعنا	We collected 					
16649	566	استقلت	 independent					
16650	566	شوهد	Viewed 					
16651	566	امها	"Her mother	 "					
16652	566	والأخرى	And the other 					
16653	566	وقعنا	We signed 					
16654	566	آليسون	Allison 					
16655	566	اهتمامي	My interest in 					
16656	566	ستيل	Steel 					
16657	566	إيفي	Effie 					
16658	566	وودز	Woods 					
16659	566	تشعرون	Feel 					
16660	566	الواجهة	 Interface					
16661	566	المتواضع	Modest 					
16662	566	اوامر	Orders 					
16663	566	يسارك	Left 					
16664	566	يفي	Levy 					
16665	566	بانهم	They 					
16666	566	أغلقنا	We closed 					
16667	566	نحمي	Protect 					
16668	566	ماريس	Mares 					
16669	566	الشرطى	Conditional 					
16670	566	عماذا	Amama 					
16671	566	أجلسي	Sit 					
16672	565	هجمات	 attacks					
16673	565	رفاقي	 of my comrades					
16674	565	نم	 nm					
16675	565	عمد	Baptized 					
16676	565	أغرق	 drowned					
16677	565	الغرق	 drowning					
16678	565	زائفة	 false					
16679	565	الحامل	Pregnant 					
16680	565	بوصات	Inches 					
16681	565	الضمير	Conscience 					
16682	ــ565	لقــد	I have 					
16683	565	يقودني	 leads me					
16684	565	الجمارك	Customs 					
16685	565	أوائل	Early 					
16686	565	تركتهم	Let them 					
16687	565	أتيتي	Otia 					
16688	565	واكر	Wacker 					
16689	565	أعمالنا	Our 					
16690	565	اعرض	Show 					
16691	565	دورات	 courses					
16692	565	بالسحر	Witchcraft 					
16693	565	تقسم	 divided					
16694	565	دوائر	 circles					
16695	564	مرعبة	Awesome 					
16696	564	شميدت	Schmidt 					
16697	564	برمي	Throwing 					
16698	564	سعادتي	My happiness 					
16699	564	الالتزام	 Commitment					
16700	564	أرادني	He wanted 					
16701	564	إنجل	Ingle 					
16702	564	وصلتك	Link 					
16703	564	الجمعية	 Assembly					
16704	564	كلاين	Klein 					
16705	564	الاحوال	 cases					
16706	564	أتضح	 turned out					
16707	564	أضرار	Damage 					
16708	564	راكب	 passengers					
16709	564	ميتون	Mayton 					
16710	564	ينتظرنا	 awaits us					
16711	564	الصياد	Fisherman 					
16712	564	الحكيم	Hakim 					
16713	564	الاكل	Eating 					
16714	564	الرخصة	License 					
16715	564	للمجتمع	Community 					
16716	564	ma	ma 					
16717	564	أخوات	Sisters 					
16718	564	بذور	 seeds					
16719	564	باقية	Remaining 					
16720	564	الممثلة	 actress					
16721	564	الصلبة	Solid 					
16722	564	الركبة	Knee 					
16723	563	أخذوه	It took him 					
16724	563	الامريكي	US 					
16725	563	الأمريكيون	US 					
16726	563	مصاريف	 Expenses					
16727	563	بالعار	Shame 					
16728	563	ليلتكم	Night of yours 					
16729	563	يتعرف	 recognizes					
16730	563	هالو	Halo 					
16731	563	أعداد	 numbers					
16732	563	خسائر	 losses					
16733	563	برسالة	 message					
16734	563	يهبط	Down 					
16735	563	أستميحك	I beg your 					
16736	563	العزوبية	Celibacy 					
16737	563	واحصل	Get 					
16738	563	جوية	 air					
16739	563	موفقا	 successful					
16740	563	التمساح	Alligator 					
16741	563	بكونك	Being a 					
16742	ـ563	العمـل	 work					
16743	563	الصيادين	Fishermen 					
16744	563	قرصان	Pirate 					
16745	563	بدين	Tubby 					
16746	562	اذنك	Eznak 					
16747	562	حجمه	Size 					
16748	562	انقطاع	Break 					
16749	562	الزوايا	 angles					
16750	562	السوار	Bracelets 					
16751	562	him	him 					
16752	562	ووالدك	And your father 					
16753	562	أرضنا	Our land 					
16754	562	سرنا	We drove 					
16755	562	لفهم	To understand 					
16756	562	بوكر	Poker 					
16757	562	أغلى	The most expensive 					
16758	562	الريث	Rit 					
16759	562	يبدأون	 start					
16760	562	غولف	Golf 					
16761	562	تستطيعوا	T 					
16762	562	المخلص	Savior 					
16763	562	لزيارتي	 for my visit					
16764	562	وسأفعل	And I will do 					
16765	562	الامتحان	 exam					
16766	562	ظنوا	They thought 					
16767	562	بلاغ	Communication 					
16768	562	قديمه	Old 					
16769	562	افراد	 members					
16770	562	قراره	Resolution 					
16771	561	يرسم	Paints 					
16772	561	نعومي	Naomi 					
16773	561	أحافظ	I keep my 					
16774	561	عريضة	Widescreen 					
16775	561	وارين	Warren 					
16776	561	لينارد	Leonard 					
16777	561	هاردي	Hardy 					
16778	561	نساعدك	 help					
16779	561	والتحدث	Talk 					
16780	561	عبيد	Obaid 					
16781	561	بالمنطقة	Region 					
16782	561	الدعابة	Humor 					
16783	561	وألا	And not 					
16784	561	اميال	 miles					
16785	561	أضخم	 largest					
16786	561	تمنى	Wished 					
16787	561	يعجبنى	I like 					
16788	561	مخاوف	 concerns					
16789	561	والحب	Love 					
16790	561	عروس	Bride 					
16791	561	المحار	Shellfish 					
16792	561	سأفقد	I will lose 					
16793	561	طفلان	"Two children	 "					
16794	561	فقرة	Paragraph 					
16795	560	اعوام	 years					
16796	560	فقيرة	Poor 					
16797	560	المناجم	Mines 					
16798	560	كفايه	Enough 					
16799	560	التاليه	Following 					
16800	560	الدخل	 Income					
16801	560	السحاب	Sahab 					
16802	560	ملاحقة	Prosecute 					
16803	560	التعب	Fatigue 					
16804	560	واسمحوا	Let 					
16805	560	تمالك	 refrain from getting					
16806	560	دعاية	Publicity 					
16807	560	يفوت	Miss 					
16808	560	اختطف	 kidnapped					
16809	560	الرحله	Flight 					
16810	560	بحثي	Research 					
16811	560	هاسكل	Haskell 					
16812	560	إنتبهي	Pay attention 					
16813	560	حاجتك	Need 					
16814	560	تحفة	 masterpiece					
16815	560	تسوق	Shopping 					
16816	560	بإنهاء	Ending 					
16817	560	فرس	Mare 					
16818	560	بوكس	Box 					
16819	560	تروق	Liking 					
16820	560	الحقن	Injection 					
16821	560	النسائية	Women's 					
16822	559	يدعم	Supports 					
16823	559	ترينا	Trina 					
16824	559	بخمسة	Five 					
16825	559	بحقيقة	 fact					
16826	559	ميزانية	 budget					
16827	559	بالمقارنة	Compared to 					
16828	559	شرحت	I explained to 					
16829	559	تتعلمي	You learn 					
16830	559	شد	Pulling 					
16831	559	المغفرة	Forgiveness 					
16832	559	جعلتنا	Made us 					
16833	559	للتواصل	To connect 					
16834	559	إين	In 					
16835	559	غريزة	Instinct 					
16836	559	تسريب	Leaking 					
16837	559	الألف	Thousand 					
16838	559	للجنة	Committee 					
16839	559	فعليا	Actually 					
16840	559	ينادي	 calls					
16841	558	صلاحية	The validity of 					
16842	558	فيكرام	Vikram 					
16843	558	قالو	Galo 					
16844	558	والطريقة	The way 					
16845	ـ558	حقـا	 really					
16846	558	التشفير	 encryption					
16847	558	أفسحوا	Paved 					
16848	558	مقيد	 restricted					
16849	558	طبقات	Layers 					
16850	558	قوتها	 power					
16851	558	حقول	 fields					
16852	558	متشابهة	 similar					
16853	558	تتابع	Relay 					
16854	558	إبنى	My son 					
16855	558	راؤول	Raul 					
16856	558	تقصدينه	Tqsdenh 					
16857	558	إيطالي	Italian 					
16858	558	نابليون	Napoleon 					
16859	558	سننتقل	We will move 					
16860	558	الراتب	 Salary					
16861	558	قدرته	 capacity					
16862	558	سنعثر	We will find 					
16863	558	لأربعة	Four 					
16864	558	المشاهدين	 viewers					
16865	558	أجبت	I answered 					
16866	558	إ	E 					
16867	558	اضطررنا	We had 					
16868	558	بوسعهم	They can 					
16869	558	اشتريته	I bought 					
16870	558	مرضية	 satisfactory					
16871	558	كثيرين	Many 					
16872	557	وجعل	Make 					
16873	557	يدعونه	They call 					
16874	557	سيترك	 will leave					
16875	557	الشمل	Reunion 					
16876	ـ557	هذهـ	This 					
16877	557	جوازات	Passports 					
16878	557	إجرامي	Criminal 					
16879	557	المهني	Professional 					
16880	557	أماكنكم	Your places 					
16881	557	للحظ	Lucky 					
16882	557	شارك	 participated					
16883	557	ربيكا	Rebecca 					
16884	557	للقائك	To meet you 					
16885	557	الأجنبية	Foreign 					
16886	557	تدميره	Destroyed 					
16887	557	يتخلى	Give up 					
16888	557	المتعلق	On 					
16889	557	المكسيكية	Mexican 					
16890	557	أملنا	Our hope 					
16891	557	مؤشر	 Index					
16892	557	نثبت	 prove					
16893	557	اسمعا	Hear 					
16894	557	آذان	Ears 					
16895	557	سيساعدني	 will help me					
16896	557	لاتعلم	To learn 					
16897	557	التمرد	 rebellion					
16898	557	إستمعوا	Listen 					
16899	557	تستخدمين	Do you use 					
16900	556	للمقاطعة	County 					
16901	556	مفقودين	 missing					
16902	556	تركهم	Leaving 					
16903	556	الخطوبة	Engagement 					
16904	556	كلوى	Chloe 					
16905	556	تكف	Stop 					
16906	556	لسنة	For the year 					
16907	556	القسوة	 Cruelty					
16908	556	متهور	Daredevil 					
16909	556	بيو	Bio 					
16910	556	المزعجة	Annoying 					
16911	556	احتمالية	Probability of 					
16912	556	انجليس	LA 					
16913	556	جلبته	Brought 					
16914	556	ديفيا	Divya 					
16915	556	يقلل	Reduces 					
16916	556	مادا	Mada 					
16917	556	معرفتها	Knowledge of 					
16918	556	يمارسون	 practice					
16919	556	كيلى	Kelly 					
16920	556	أنجز	Completed 					
16921	556	الإختفاء	Latency 					
16922	556	مكاتب	 Offices					
16923	556	التحرش	Harassment 					
16924	556	لمعرفته	To know 					
16925	556	راس	Ras 					
16926	556	أجيال	 generations					
16927	556	تشاهدي	Chahidi 					
16928	556	انصتي	"Give ear	 "					
16929	555	مشرق	Bright 					
16930	555	بلانت	Planet 					
16931	555	المحاماة	Law 					
16932	555	عقليا	 mentally					
16933	555	خطرت	They came up with 					
16934	555	سرعتك	 speed					
16935	555	ونعود	And get back to 					
16936	555	حيوي	Dynamic 					
16937	555	الأمرين	Commands 					
16938	555	المستقبلي	Future 					
16939	555	النوادي	Clubs 					
16940	555	ساذجة	Naive 					
16941	555	خلاصة	Summary 					
16942	555	إيفري	Evry 					
16943	555	لصالحك	For you 					
16944	555	الأبدي	Eternal 					
16945	555	ألوم	I blame 					
16946	555	أجهز	Finished off 					
16947	555	مريضي	 my patient					
16948	554	ويقولون	They say 					
16949	554	والدا	The parents of 					
16950	554	تخطئ	Err 					
16951	554	أكدت	 confirmed					
16952	554	كريه	Detestable 					
16953	554	جواسيس	Spies 					
16954	554	برغبة	Desire 					
16955	554	القادمين	 arrivals					
16956	554	الغاية	Target 					
16957	554	آباء	Fathers 					
16958	554	تسمعينني	Tsamaanna 					
16959	554	اعتنى	I took care of 					
16960	554	بأنكما	Bonkma 					
16961	554	بداء	 disease					
16962	554	ستحتاجين	You will need 					
16963	554	علاجه	Cured 					
16964	554	رفاقك	 comrades					
16965	554	وسأعود	I will return 					
16966	554	بلهاء	Idiots 					
16967	554	بالحرب	War 					
16968	554	فوضوي	Messy 					
16969	554	الحكام	Referees 					
16970	554	يعطيه	Give him 					
16971	554	والماء	Water 					
16972	554	يهمنى	I'd 					
16973	554	السرور	 pleasure					
16974	554	الختم	Seal 					
16975	554	منذو	Mndhu 					
16976	554	مقابلات	Interviews 					
16977	553	ترعرعت	I grew up 					
16978	553	مقابله	 Interview					
16979	553	رويس	Royce 					
16980	553	يجذب	Attracts 					
16981	553	ماتريده	What you want 					
16982	553	راتبي	My salary 					
16983	553	القضاة	 judges					
16984	553	اجلى	 evacuated					
16985	553	جلالته	King 					
16986	553	صوابك	Your patience 					
16987	553	الأظافر	Nail 					
16988	553	معكى	Meky 					
16989	553	نقطه	 points					
16990	553	تكتبين	You write 					
16991	553	تفتحي	Open your 					
16992	553	أخو	Brother 					
16993	552	إنكار	Denial of 					
16994	552	لكونه	For being 					
16995	552	أرحب	Welcome to 					
16996	552	للتغيير	Change 					
16997	552	دبي	Dubai 					
16998	552	كريشنا	Krishna 					
16999	552	بأسلوب	 style					
17000	552	أواثق	Ooathag 					
17001	552	تستمتعين	Enjoying 					
17002	552	إدفع	Pay 					
17003	551	أيامي	My days are 					
17004	551	مدن	 cities					
17005	551	مساؤك	Your evening 					
17006	551	متوفرة	Available 					
17007	551	خالى	#NAME?					
17008	551	قدراتك	 abilities					
17009	551	معلق	Suspension 					
17010	551	حادثا	 accident					
17011	551	تعنينه	You mean 					
17012	551	نبتة	Plant 					
17013	551	أرون	Aaron 					
17014	551	مدينتي	 cities					
17015	551	مسز	Mrs 					
17016	551	افحص	Check 					
17017	551	مؤكدة	 confirmed					
17018	551	بالشخص	 person					
17019	551	دزينة	Dozen 					
17020	551	إعدام	The execution of 					
17021	551	إمتلاك	Having 					
17022	551	ادعك	Rub 					
17023	551	حذرك	DISCRETION 					
17024	551	للصحافة	Press 					
17025	551	الحرق	Burn 					
17026	551	ديفي	Davy 					
17027	551	وأخرج	And took out 					
17028	551	تفاحة	Apple 					
17029	551	المحبة	Love 					
17030	551	تحالف	Alliance 					
17031	551	نصدق	Believe 					
17032	551	تتذكره	Remember 					
17033	551	أقبض	Get paid 					
17034	551	ادع	Call 					
17035	551	المراس	Anchors 					
17036	551	أعجز	I can not 					
17037	551	أظافر	 nails					
17038	550	لإخبارك	To tell you 					
17039	550	الوسيط	Intermediate 					
17040	550	تسميته	Called 					
17041	550	السلع	Goods 					
17042	550	زى	Zee 					
17043	550	لأمرك	To order 					
17044	550	مكانة	Standing 					
17045	550	الثأر	Revenge 					
17046	550	متأكدون	Sure 					
17047	550	منفصل	A separate 					
17048	550	لاأعتقد	I do not think 					
17049	550	اعطيت	Given 					
17050	550	إذهبى	Go 					
17051	550	يجتمع	Meet 					
17052	550	ليلية	Night 					
17053	550	تمكنوا	Managed 					
17054	550	أدعوه	I call 					
17055	550	ضريبة	 tax					
17056	550	اخيك	 brother					
17057	550	انجيلا	Angela 					
17058	550	رباط	Ligament 					
17059	550	الأوائل	Top 					
17060	550	أخرجوني	 pulled me					
17061	550	أرجوا	I hope 					
17062	550	جونج	Jong 					
17063	549	المتاجر	 shops					
17064	549	حمية	Diet 					
17065	549	كاليندا	Kalinda 					
17066	549	سأتفقد	Sotvkd 					
17067	549	المشاريع	 projects					
17068	549	المهرجين	Clowns 					
17069	549	تمسكوا	Clung to 					
17070	549	بعكس	Unlike 					
17071	549	بولاية	State 					
17072	549	يطرح	Raises 					
17073	549	العنصر	Element 					
17074	549	السعال	Cough 					
17075	549	جهدنا	 best					
17076	549	زائف	False 					
17077	549	متناول	Affordable 					
17078	549	منتهي	Expired 					
17079	549	يشهد	Witness 					
17080	549	الدولار	 Dollar					
17081	549	أغفر	Forgive 					
